stationName,Address,City,State,postalCode,Lat,Long,Charger type,Charger type (legend),stationModel,StationNetworkStatus,LastPortStatus,faultReason,station_label,ports_total,ports_charging,ports_occupied,ports_available,StatusTimestamp,hours_unreachable,_loaded_at_utc
NYC FLEET / NYCHA_RAVENS-S1,35-35 21st St,Queens,New York,11106,40.7600591,-73.9354255,Level 2,Level 2 - Solar,CT4010-HD-GW,Unreachable,UNREACHABLE,NONE,Charging,1,1,0,0,2025-11-17T15:31:08Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / NYCHA_CYPRHL-S1,1260 Sutter Ave,Brooklyn,New York,11208,40.6720029,-73.87158219999999,Level 2,Level 2 - Solar,CT4010-HD-GW,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:22:01Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_ASHOKN_1_L3,2398 NY-28A,Olivebridge,New York,12461,41.94641,-74.20333,Level 3,Level 3,CPE250C-500-CCS1-CHD,Unreachable,UNREACHABLE,NONE,Occupied,1,0,1,0,2025-11-18T21:01:12Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DOE_MANORSI-1,1220 Manor Rd,Staten Island,New York,10314,40.596687,-74.1253,Level 2,Level 2,CT4020-HD2-GW-LTE,Reachable,INUSE,NONE,Charging,2,1,1,0,2025-11-19T10:21:30Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DOEFACILITIES 2,44-36 Vernon Blvd,Queens,New York,11101,40.74985849999999,-73.95257939999999,Level 2,Level 2,CT4020-HD,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:26:33Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_Q09-2,133-20 Atlantic Ave,Queens,New York,11418,40.696808,-73.816475,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:20:47Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DSNY_Q09-1,13287 Atlantic Ave,Queens,New York,11418,40.69672,-73.81645,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:23:55Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / NYPD_PCT47_4,4111 Laconia Ave,The Bronx,New York,10466,40.88748546420784,-73.84752198773155,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:21:05Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / NYPD_PCT47_5,4111 Laconia Ave,The Bronx,New York,10466,40.88745808970518,-73.8474938245369,Level 2,Level 2,CPF50,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:21:05Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / NYPD_PCT47_6,4111 Laconia Ave,The Bronx,New York,10466,40.8875133456341,-73.84744219201336,Level 2,Level 2,CPF50-L18,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:21:05Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_SHAFT10-1,1286 US-6,Carmel Hamlet,New York,10512,41.403155458500954,-73.70550487238734,Level 2,Level 2,CT4020-HD-GW,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:20:19Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_GRHMS_1_L3,7892 42,Neversink,New York,12740,41.8457413,-74.54399389999999,Level 3,Level 3,CPE250C-500-CCS1-CHD,Reachable,AVAILABLE,NONE,Available,1,0,0,1,2025-11-19T10:22:18Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_W135ST#2,725 W 135th St,New York,New York,10031,40.8213289,-73.9577289,Level 2,Level 2,CT4020-HD,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:29:04Z,0.0,2025-11-19T10:31:52.196106+00:00
NYC FLEET / DEP_ASTORIA#2,43-1 Berrian Blvd,Queens,New York,11105,40.77875032138895,-73.89474168836057,Level 2,Level 2,CT4020-HD,Reachable,AVAILABLE,NONE,Available,2,0,0,2,2025-11-19T10:22:42Z,0.0,2025-11-19T10:31:52.196106+00:00
